city,country,latitude,longitude,max_temp,humidity,cloudiness,Wind speed
camacupa,AO,-12.02,17.48,16.77,95,100,1.4
springbok,ZA,-29.67,17.88,14.0,93,100,3.6
mporokoso,ZM,-9.37,30.12,16.41,95,87,1.17
oum hadjer,TD,13.3,19.7,19.29,20,1,4.86
lichtenburg,ZA,-26.15,26.16,19.2,61,100,5.56
mongo,CD,-5.62,14.6,21.45,94,99,0.21
kasempa,ZM,-13.46,25.83,17.1,91,100,1.31
kabwe,ZM,-14.44,28.44,17.87,96,100,1.67
marawi,PH,8.0,124.29,27.22,76,92,3.13
gobabis,NA,-22.45,18.97,20.11,65,100,2.98
bara,NG,10.41,10.6,18.28,25,100,3.37
upington,ZA,-28.46,21.24,22.0,83,75,2.6
botshabelo,ZA,-29.23,26.73,17.0,93,90,3.6
uvira,CD,-3.41,29.14,10.27,90,100,1.0
birao,CF,10.3,22.78,20.61,28,0,4.95
marzuq,YE,14.4,46.47,15.64,89,57,1.48
ghanzi,BW,-21.7,21.65,21.09,83,100,2.94
butembo,CD,0.12,29.29,16.5,82,86,1.56
shakawe,BW,-18.36,21.84,19.71,93,100,2.11
prieska,ZA,-29.67,22.74,19.95,71,77,1.01
kutum,SD,14.2,24.66,12.22,30,0,1.07
manono,CD,-7.3,27.4,19.81,97,100,0.52
faya,SA,18.39,42.45,14.0,87,40,6.7
sabha,LY,27.03,14.43,5.09,57,0,3.14
warmbad,DE,50.67,13.08,4.44,80,28,4.1
oranjemund,ZA,-28.55,16.43,18.39,74,96,1.63
impfondo,CD,1.62,18.06,21.77,43,13,0.34
lodja,CD,-3.52,23.6,20.48,98,96,0.69
businga,CD,3.34,20.89,21.27,46,77,0.94
bria,CF,6.54,21.99,19.03,37,22,1.93
isiro,CD,2.77,27.62,19.48,54,100,0.96
ellisras,ZA,-23.67,27.74,22.87,45,9,5.02
hwange,ZW,-18.35,26.5,20.04,94,100,1.32
kindu,CD,-2.95,25.92,21.22,94,100,0.91
mushie,CD,-3.02,16.92,23.51,91,100,0.7
zemio,CF,5.02,25.13,19.88,34,0,1.44
kasongo-lunda,CD,-6.48,16.82,18.76,98,100,0.62
awjilah,LY,29.14,21.3,9.99,80,71,3.67
bumba,CD,2.18,22.47,21.21,55,34,0.48
jalu,LY,29.03,21.55,10.4,75,76,3.76
kampene,CD,-3.59,26.67,20.16,99,98,0.95
waddan,LY,29.16,16.14,5.22,72,0,1.26
goundi,TD,9.36,17.37,19.85,30,0,1.69
kikwit,CD,-5.04,18.82,20.95,96,100,0.6
wamba,CD,2.14,27.99,18.64,67,37,1.0
bukama,CD,-9.2,25.85,20.56,98,100,1.09
umm kaddadah,SD,13.6,26.69,17.09,21,0,5.45
warrenton,ZA,-28.11,24.85,19.85,75,100,6.61
buta,CD,2.79,24.73,19.29,55,18,0.16
menongue,AO,-14.66,17.68,17.51,94,100,2.33
kongolo,CD,-5.39,27.0,20.11,97,88,0.87
sinazongwe,ZM,-17.26,27.46,23.65,87,100,3.17
bunia,CD,1.56,30.25,22.62,63,49,1.19
boende,CD,-0.28,20.88,22.85,86,100,0.82
bilma,NE,18.69,12.92,11.35,36,42,5.3
karasburg,NA,-28.01,18.75,18.87,59,20,3.46
keetmanshoop,NA,-26.57,18.15,21.0,49,0,1.5
ondjiva,AO,-17.07,15.73,19.43,85,47,2.86
zambezi,ZM,-13.55,23.12,17.34,96,100,1.9
lisala,CD,2.15,21.52,21.55,53,32,0.87
mariental,BR,-25.72,-49.65,21.0,94,75,2.1
okahandja,NA,-21.98,16.91,18.33,59,100,2.1
